precision,recall,f1,roc_auc
0.16593886462882096,0.48717948717948717,0.247557003257329,0.6156063988095238
0.14754098360655737,0.34615384615384615,0.20689655172413793,0.5961896176739927
0.1588235294117647,0.34615384615384615,0.21774193548387097,0.6006252861721613
0.13452914798206278,0.38461538461538464,0.19933554817275748,0.5991228823260073
0.1553398058252427,0.41025641025641024,0.22535211267605634,0.6201851533882784
0.1864406779661017,0.28205128205128205,0.22448979591836735,0.6115999885531136
0.13427561837455831,0.48717948717948717,0.21052631578947367,0.5923978365384617
0.13043478260869565,0.46153846153846156,0.2033898305084746,0.5999813988095238
0.1793103448275862,0.3333333333333333,0.23318385650224216,0.5928127861721613
0.1728395061728395,0.358974358974359,0.23333333333333334,0.6027715773809524
0.13857677902621723,0.47435897435897434,0.2144927536231884,0.6137176625457875
0.12078651685393259,0.5512820512820513,0.19815668202764977,0.5927412431318682
0.16233766233766234,0.32051282051282054,0.21551724137931033,0.6104266826923076
0.12721893491124261,0.5512820512820513,0.20673076923076922,0.5862737522893774
0.13617021276595745,0.41025641025641024,0.20447284345047922,0.5777601304945055
0.15841584158415842,0.41025641025641024,0.22857142857142856,0.594172103937729
0.16025641025641027,0.32051282051282054,0.21367521367521367,0.58562986492674
0.15428571428571428,0.34615384615384615,0.2134387351778656,0.5802927541208792
0.1552511415525114,0.4358974358974359,0.22895622895622897,0.6131167010073261
0.1469387755102041,0.46153846153846156,0.22291021671826625,0.6166366185897436
0.16774193548387098,0.3333333333333333,0.22317596566523606,0.6008256066849818
0.1656441717791411,0.34615384615384615,0.22406639004149378,0.5983502174908425
0.15606936416184972,0.34615384615384615,0.2151394422310757,0.5791337568681318
0.15,0.4230769230769231,0.2214765100671141,0.6108845581501833
0.14785992217898833,0.48717948717948717,0.22686567164179106,0.6062342605311355
0.1390728476821192,0.5384615384615384,0.22105263157894736,0.5942150297619048
0.1415929203539823,0.41025641025641024,0.21052631578947367,0.5927984775641025
0.17687074829931973,0.3333333333333333,0.2311111111111111,0.6052183493589743
0.12244897959183673,0.46153846153846156,0.1935483870967742,0.5857157165750916
0.15384615384615385,0.46153846153846156,0.23076923076923078,0.6008112980769231
0.16129032258064516,0.32051282051282054,0.2145922746781116,0.6071357028388279
0.15207373271889402,0.4230769230769231,0.22372881355932203,0.5856584821428571
0.17763157894736842,0.34615384615384615,0.23478260869565218,0.6036014766483517
0.15568862275449102,0.3333333333333333,0.21224489795918366,0.5876044528388278
0.14056224899598393,0.44871794871794873,0.21406727828746178,0.5976490956959708
0.16,0.41025641025641024,0.2302158273381295,0.6034870077838828
0.1488095238095238,0.32051282051282054,0.2032520325203252,0.5969908997252747
0.13793103448275862,0.358974358974359,0.199288256227758,0.5836409684065935
0.14903846153846154,0.3974358974358974,0.21678321678321677,0.5926983173076923
0.15979381443298968,0.3974358974358974,0.22794117647058823,0.6285270718864469
0.1523809523809524,0.41025641025641024,0.2222222222222222,0.6146763392857143
0.14814814814814814,0.46153846153846156,0.22429906542056074,0.6038590315934066
0.15185185185185185,0.5256410256410257,0.23563218390804597,0.6249928456959707
0.15723270440251572,0.32051282051282054,0.2109704641350211,0.6123011103479854
0.14222222222222222,0.41025641025641024,0.21122112211221122,0.5975060096153846
0.13953488372093023,0.46153846153846156,0.21428571428571427,0.5937428456959707
0.15023474178403756,0.41025641025641024,0.21993127147766323,0.5859017284798536
0.14432989690721648,0.358974358974359,0.20588235294117646,0.5976061698717949
0.14391143911439114,0.5,0.22349570200573066,0.5947158310439561
0.1392857142857143,0.5,0.21787709497206703,0.5913533081501832
